"vp";"nodd";"waveform";"N";"k";"prob"
"V14";"0,4";"tria";"48";"17";"0,3541666666666667"
"V14";"0,8";"sine";"48";"41";"0,8541666666666666"
"V14";"0,8";"tria";"48";"41";"0,8541666666666666"
"V14";"1,2";"sine";"48";"46";"0,9583333333333334"
"V14";"1,2";"tria";"48";"46";"0,9583333333333334"
"V14";"1,6";"sine";"48";"48";"1,0000000000000000"
"V14";"1,6";"tria";"48";"47";"0,9791666666666666"
"V14";"3,0";"sine";"48";"48";"1,0000000000000000"
"V14";"3,0";"tria";"48";"48";"1,0000000000000000"
"V16";"0,0";"sine";"48";"8";"0,1666666666666667"
"V16";"0,0";"tria";"48";"5";"0,1041666666666667"
"V16";"0,4";"sine";"48";"10";"0,2083333333333333"
"V16";"0,4";"tria";"48";"12";"0,2500000000000000"
"V16";"0,8";"sine";"48";"33";"0,6875000000000000"
"V16";"0,8";"tria";"48";"34";"0,7083333333333334"
"V16";"1,2";"sine";"48";"43";"0,8958333333333334"
"V16";"1,2";"tria";"48";"42";"0,8750000000000000"
"V16";"1,6";"sine";"48";"44";"0,9166666666666666"
"V16";"1,6";"tria";"48";"40";"0,8333333333333334"
"V16";"3,0";"sine";"48";"47";"0,9791666666666666"
"V16";"3,0";"tria";"48";"46";"0,9583333333333334"
"V17";"0,0";"sine";"48";"0";"0,0000000000000000"
"V17";"0,0";"tria";"48";"1";"0,0208333333333333"
"V17";"0,4";"sine";"48";"5";"0,1041666666666667"
"V17";"0,4";"tria";"48";"4";"0,0833333333333333"
"V17";"0,8";"sine";"48";"23";"0,4791666666666667"
"V17";"0,8";"tria";"48";"23";"0,4791666666666667"
"V17";"1,2";"sine";"48";"39";"0,8125000000000000"
"V17";"1,2";"tria";"48";"40";"0,8333333333333334"
"V17";"1,6";"sine";"48";"46";"0,9583333333333334"
"V17";"1,6";"tria";"48";"45";"0,9375000000000000"
"V17";"3,0";"sine";"48";"45";"0,9375000000000000"
"V17";"3,0";"tria";"48";"46";"0,9583333333333334"
"V18";"0,0";"sine";"48";"1";"0,0208333333333333"
"V18";"0,0";"tria";"48";"1";"0,0208333333333333"
"V18";"0,4";"sine";"48";"8";"0,1666666666666667"
"V18";"0,4";"tria";"48";"8";"0,1666666666666667"
"V18";"0,8";"sine";"48";"32";"0,6666666666666666"
"V18";"0,8";"tria";"48";"21";"0,4375000000000000"
"V18";"1,2";"sine";"48";"41";"0,8541666666666666"
"V18";"1,2";"tria";"48";"39";"0,8125000000000000"
"V18";"1,6";"sine";"48";"44";"0,9166666666666666"
"V18";"1,6";"tria";"48";"43";"0,8958333333333334"
"V18";"3,0";"sine";"48";"48";"1,0000000000000000"
"V18";"3,0";"tria";"48";"46";"0,9583333333333334"
"V19";"0,0";"sine";"48";"5";"0,1041666666666667"
"V19";"0,0";"tria";"48";"4";"0,0833333333333333"
"V19";"0,4";"sine";"48";"15";"0,3125000000000000"
"V19";"0,4";"tria";"48";"13";"0,2708333333333333"
"V19";"0,8";"sine";"48";"36";"0,7500000000000000"
"V19";"0,8";"tria";"48";"42";"0,8750000000000000"
"V19";"1,2";"sine";"48";"42";"0,8750000000000000"
"V19";"1,2";"tria";"48";"43";"0,8958333333333334"
"V19";"1,6";"sine";"48";"46";"0,9583333333333334"
"V19";"1,6";"tria";"48";"45";"0,9375000000000000"
"V19";"3,0";"sine";"48";"47";"0,9791666666666666"
"V19";"3,0";"tria";"48";"47";"0,9791666666666666"
"V20";"0,0";"sine";"48";"4";"0,0833333333333333"
"V20";"0,0";"tria";"48";"0";"0,0000000000000000"
